,LGBT,environmental,equality,migration,IPalignment
AFG,0,1.0,1.0,0.0,-1.0
AGO,1,0.0,0.0,0.0,-1.0
ALB,1,1.0,1.0,0.0,-1.0
ARE,0,1.0,1.0,0.0,-1.0
ARG,1,1.0,0.0,1.0,-1.0
ARM,1,0.0,1.0,0.0,-1.0
ATG,1,0.0,0.0,0.0,-1.0
AUS,1,1.0,0.0,1.0,-1.0
AUT,1,1.0,0.0,0.0,-1.0
AZE,1,0.0,1.0,0.0,-1.0
BDI,0,0.0,1.0,0.0,-1.0
BEL,1,1.0,0.0,1.0,-1.0
BEN,1,0.0,1.0,0.0,-1.0
BFA,1,0.0,1.0,0.0,-1.0
BGD,0,0.0,1.0,0.0,-1.0
BGR,1,1.0,0.0,0.0,-1.0
BHR,1,1.0,0.0,0.0,-1.0
BHS,1,1.0,1.0,0.0,-1.0
BIH,1,1.0,0.0,0.0,-1.0
BLR,1,1.0,1.0,0.0,-1.0
BLZ,1,0.0,0.0,0.0,-1.0
BOL,1,0.0,0.0,0.0,-1.0
BRA,1,1.0,0.0,1.0,-1.0
BRB,1,1.0,0.0,0.0,-1.0
BRN,0,0.0,1.0,0.0,-1.0
BTN,1,0.0,0.0,0.0,-1.0
BWA,1,0.0,0.0,0.0,-1.0
CAF,1,1.0,1.0,0.0,-1.0
CAN,1,1.0,0.0,1.0,-1.0
CHE,1,1.0,0.0,1.0,-1.0
CHL,1,1.0,0.0,1.0,-1.0
CHN,1,1.0,0.0,0.0,-1.0
CIV,1,1.0,1.0,0.0,-1.0
CMR,0,0.0,1.0,0.0,-1.0
COD,1,-1.0,1.0,0.0,-1.0
COG,1,1.0,1.0,0.0,-1.0
COL,1,0.0,0.0,0.0,-1.0
COM,0,0.0,1.0,0.0,-1.0
CPV,1,0.0,0.0,0.0,-1.0
CRI,1,0.0,0.0,0.0,-1.0
CUB,1,1.0,0.0,0.0,-1.0
CYP,1,1.0,0.0,0.0,-1.0
CZE,1,1.0,0.0,1.0,-1.0
