,rho,NashEq,LabInv,LabSym,thetaThr,network,relax,status,objval,sumEta,time,nnodes,tolopt,nvars,nconstraints
0,0.1,0,0,0,1.0,phidata_network80.txt,0,101,1.0,1,77.429,3263,0.0,2944,3680
1,0.5,0,0,0,1.0,phidata_network80.txt,0,101,1.0,1,17.181,943,0.0,2944,3680
2,1.0,0,0,0,1.0,phidata_network80.txt,0,101,1.0,1,20.489,814,0.0,2944,3680
3,0.1,0,0,0,1.0,phidata_network90.txt,0,101,2.0,2,6.019,66,0.0,2944,3680
4,0.5,0,0,0,1.0,phidata_network90.txt,0,101,1.0,1,19.531,2012,0.0,2944,3680
5,1.0,0,0,0,1.0,phidata_network90.txt,0,101,1.0,1,12.578,1669,0.0,2944,3680
6,0.1,1,0,0,1.0,phidata_network80.txt,0,101,1.0,1,106.346,5941,0.0,3864,5849
7,0.5,1,0,0,1.0,phidata_network80.txt,0,101,1.0,1,15.32,754,0.0,3864,5849
8,1.0,1,0,0,1.0,phidata_network80.txt,0,101,1.0,1,8.384,518,0.0,3864,5849
9,0.1,1,0,0,1.0,phidata_network90.txt,0,101,3.0,3,89.201,5131,0.0,3864,5849
10,0.5,1,0,0,1.0,phidata_network90.txt,0,101,1.0,1,14.808,1946,0.0,3864,5849
11,1.0,1,0,0,1.0,phidata_network90.txt,0,101,1.0,1,9.603,1443,0.0,3864,5849
12,0.1,0,0,0,0.9,phidata_network80.txt,0,101,1.0,1,26.587,1684,0.0,2944,3680
13,0.5,0,0,0,0.9,phidata_network80.txt,0,101,1.0,1,15.916,574,0.0,2944,3680
14,1.0,0,0,0,0.9,phidata_network80.txt,0,101,1.0,1,40.53,2281,0.0,2944,3680
15,0.1,0,0,0,0.9,phidata_network90.txt,0,101,2.0,2,8.472,1756,0.0,2944,3680
16,0.5,0,0,0,0.9,phidata_network90.txt,0,101,1.0,1,32.613,3552,0.0,2944,3680
17,1.0,0,0,0,0.9,phidata_network90.txt,0,101,1.0,1,135.519,5805,0.0,2944,3680
18,0.1,1,0,0,0.9,phidata_network80.txt,0,101,1.0,1,104.166,2611,0.0,3864,5849
19,0.5,1,0,0,0.9,phidata_network80.txt,0,101,1.0,1,11.321,315,0.0,3864,5849
20,1.0,1,0,0,0.9,phidata_network80.txt,0,101,1.0,1,11.25,664,0.0,3864,5849
21,0.1,1,0,0,0.9,phidata_network90.txt,0,101,3.0,3,35.359,3200,0.0,3864,5849
