rho	NashEq	LabInv	LabSym	thetaThr	network	relax	status	objval	sumEta	time	nnodes	tolopt	nvars	nconstraints
0.100000	0	0	0	1.000000	phidata_network80.txt	0	101	2.000000	2	6.344000	66	0.000000	2944	3680	
0.500000	0	0	0	1.000000	phidata_network80.txt	0	101	1.000000	1	20.220000	2012	0.000000	2944	3680	
1.000000	0	0	0	1.000000	phidata_network80.txt	0	101	1.000000	1	12.996000	1669	0.000000	2944	3680	
0.100000	0	0	0	1.000000	phidata_network90.txt	0	101	2.000000	2	6.324000	66	0.000000	2944	3680	
0.500000	0	0	0	1.000000	phidata_network90.txt	0	101	1.000000	1	20.286000	2012	0.000000	2944	3680	
1.000000	0	0	0	1.000000	phidata_network90.txt	0	101	1.000000	1	13.017000	1669	0.000000	2944	3680	
0.100000	1	0	0	1.000000	phidata_network80.txt	0	101	3.000000	3	93.982000	5131	0.000000	3864	5849	
0.500000	1	0	0	1.000000	phidata_network80.txt	0	101	1.000000	1	15.549000	1946	0.000000	3864	5849	
1.000000	1	0	0	1.000000	phidata_network80.txt	0	101	1.000000	1	9.953000	1443	0.000000	3864	5849	
0.100000	1	0	0	1.000000	phidata_network90.txt	0	101	3.000000	3	93.974000	5131	0.000000	3864	5849	
0.500000	1	0	0	1.000000	phidata_network90.txt	0	101	1.000000	1	15.536000	1946	0.000000	3864	5849	
1.000000	1	0	0	1.000000	phidata_network90.txt	0	101	1.000000	1	9.929000	1443	0.000000	3864	5849	
0.100000	0	0	0	0.900000	phidata_network80.txt	0	101	2.000000	2	8.798000	1756	0.000000	2944	3680	
0.500000	0	0	0	0.900000	phidata_network80.txt	0	101	1.000000	1	33.691000	3552	0.000000	2944	3680	
1.000000	0	0	0	0.900000	phidata_network80.txt	0	101	1.000000	1	138.327000	5805	0.000000	2944	3680	
0.100000	0	0	0	0.900000	phidata_network90.txt	0	101	2.000000	2	8.844000	1756	0.000000	2944	3680	
0.500000	0	0	0	0.900000	phidata_network90.txt	0	101	1.000000	1	34.634000	3552	0.000000	2944	3680	
1.000000	0	0	0	0.900000	phidata_network90.txt	0	101	1.000000	1	138.271000	5805	0.000000	2944	3680	
0.100000	1	0	0	0.900000	phidata_network80.txt	0	101	3.000000	3	36.901000	3200	0.000000	3864	5849	
0.500000	1	0	0	0.900000	phidata_network80.txt	0	101	1.000000	1	11.362000	2889	0.000000	3864	5849	
1.000000	1	0	0	0.900000	phidata_network80.txt	0	101	1.000000	1	28.061000	3453	0.000000	3864	5849	
0.100000	1	0	0	0.900000	phidata_network90.txt	0	101	3.000000	3	36.213000	3200	0.000000	3864	5849	
0.500000	1	0	0	0.900000	phidata_network90.txt	0	101	1.000000	1	11.337000	2889	0.000000	3864	5849	
1.000000	1	0	0	0.900000	phidata_network90.txt	0	101	1.000000	1	27.857000	3453	0.000000	3864	5849	
0.100000	0	0	0	0.800000	phidata_network80.txt	0	101	2.000000	2	10.662000	1871	0.000000	2944	3680	
0.500000	0	0	0	0.800000	phidata_network80.txt	0	101	1.000000	1	43.278000	2843	0.000000	2944	3680	
1.000000	0	0	0	0.800000	phidata_network80.txt	0	101	2.000000	2	163.452000	5154	0.000000	2944	3680	
0.100000	0	0	0	0.800000	phidata_network90.txt	0	101	2.000000	2	10.738000	1871	0.000000	2944	3680	
0.500000	0	0	0	0.800000	phidata_network90.txt	0	101	1.000000	1	43.367000	2843	0.000000	2944	3680	
1.000000	0	0	0	0.800000	phidata_network90.txt	0	101	2.000000	2	163.873000	5154	0.000000	2944	3680	
0.100000	1	0	0	0.800000	phidata_network80.txt	0	101	3.000000	3	72.818000	5478	0.000000	3864	5849	
0.500000	1	0	0	0.800000	phidata_network80.txt	0	101	1.000000	1	64.232000	6745	0.000000	3864	5849	
1.000000	1	0	0	0.800000	phidata_network80.txt	0	101	2.000000	2	138.593000	8095	0.000000	3864	5849	
0.100000	1	0	0	0.800000	phidata_network90.txt	0	101	3.000000	3	70.507000	5478	0.000000	3864	5849	
0.500000	1	0	0	0.800000	phidata_network90.txt	0	101	1.000000	1	63.630000	6745	0.000000	3864	5849	
1.000000	1	0	0	0.800000	phidata_network90.txt	0	101	2.000000	2	137.948000	8095	0.000000	3864	5849	
0.100000	0	0	0	0.700000	phidata_network80.txt	0	101	3.000000	3	137.605000	5406	0.000000	2944	3680	
0.500000	0	0	0	0.700000	phidata_network80.txt	0	101	2.000000	2	447.404000	34082	0.000000	2944	3680	
