,Homosexuality,Gay Marriage,Censorship,Changing Gender,Non-binary gender recognition,Discrimination,Employment Discrimination,Housing Discrimination,Adoption,Military,Donating Blood,Conversion Therapy,Age of Consent
bahrain,✔ Legal,✖ Not legal,Ambiguous,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,Ambiguous,✖ Not banned,✔ Equal
bhutan,✔ Legal,✖ Unrecognized,✔ No censorship,Ambiguous,Unknown,✖ No protections,✖ No protections,✖ No protections,✖ Single only,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
cambodia,✔ Legal,Varies by Region,✔ No censorship,Ambiguous,Unknown,✖ No protections,✖ No protections,✖ No protections,Ambiguous,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
china,✔ Legal,✖ Other type of partnership,✖ State-enforced,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Ambiguous,✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
india,✔ Legal,✖ Unregistered cohabitation,✔ No censorship,"✖ Legal, but requires surgery",✔ Recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Don't Ask, Don't Tell",✖ Banned (indefinite deferral),✔ Banned,✔ Equal
israel,✔ Legal,✖ Unregistered cohabitation,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✖ Sexual orientation only,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✔ Legal with restrictions,✔ Banned,✔ Equal
japan,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,Ambiguous,✔ Legal,✖ Banned (6-month deferral),✖ Not banned,✔ Equal
jordan,✔ Legal,✖ Unrecognized,✖ Imprisonment as punishment,"✖ Legal, but requires surgery",Unknown,✖ No protections,✖ No protections,✖ No protections,✖ Single only,"✖ Don't Ask, Don't Tell",✔ Legal,✖ Not banned,✔ Equal
kazakhstan,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
kyrgyzstan,✔ Legal,✖ Not legal,✖ Fine as punishment,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,"✖ Don't Ask, Don't Tell",✔ Legal,✖ Not banned,✔ Equal
laos,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,Ambiguous,Ambiguous,✔ Legal,✖ Not banned,✔ Equal
lebanon,✔ Legal,✖ Unrecognized,Ambiguous,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,"✖ Don't Ask, Don't Tell",✖ Banned (indefinite deferral),✖ Not banned,N/A
mongolia,✔ Legal,✖ Not legal,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
nepal,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires medical diagnosis",✔ Recognized,✔ Illegal,✖ Sexual orientation only,✖ Sexual orientation only,✖ Single only,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
philippines,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✔ Sexual orientation and gender identity,✖ Single only,✔ Legal,✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
singapore,✔ Legal,✖ Unrecognized,Ambiguous,"✖ Legal, but requires surgery",Unknown,✖ Illegal in some contexts,✖ Sexual orientation only,Ambiguous,✖ Single only,✔ Legal,✖ Banned (indefinite deferral),Ambiguous,✔ Equal
south-korea,✔ Legal,✖ Not legal,✖ State-enforced,"✖ Legal, but requires surgery",Unknown,✖ Illegal in some contexts,✖ No protections,✖ No protections,✖ Illegal,✖ Illegal,Ambiguous,✖ Not banned,✔ Equal
taiwan,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✔ Legal,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (5-year deferral),✔ Banned,✔ Equal
tajikistan,✔ Legal,✖ Not legal,✖ State-enforced,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,"✖ Don't Ask, Don't Tell",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
thailand,✔ Legal,✖ Unregistered cohabitation,✔ No censorship,✖ Illegal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Illegal,✔ Legal,✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
east-timor,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,Unknown,✖ Illegal in some contexts,✖ No protections,Ambiguous,✖ Single only,Ambiguous,✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
vietnam,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,✔ Legal,✔ Legal,✔ Banned,✔ Equal
albania,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
andorra,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,N/A,✔ Legal,✖ Not banned,✔ Equal
armenia,✔ Legal,✖ Not legal,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,"✖ Don't Ask, Don't Tell",✔ Legal,✖ Not banned,✔ Equal
austria,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires medical diagnosis",✖ Intersex only,✖ Illegal in some contexts,✖ Sexual orientation only,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
azerbaijan,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,"✖ Don't Ask, Don't Tell",✔ Legal,✖ Not banned,✔ Equal
belarus,✔ Legal,✖ Not legal,✖ State-enforced,"✖ Legal, but requires medical diagnosis",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,"✖ Don't Ask, Don't Tell",✔ Legal,✖ Not banned,✔ Equal
belgium,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✖ Banned (3-month deferral),✔ Banned,✔ Equal
bosnia-and-herzegovina,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",Varies by Region,Unknown,✔ Equal
bulgaria,✔ Legal,"✖ Unrecognized, same-sex marriage and civil unions banned",✔ No censorship,✖ Illegal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
croatia,✔ Legal,✖ Civil unions,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
